Year,State,County ID,County Name (State),All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2014,27,27029,Clearwater County (MN),"8,664","1,540","1,289","1,791","1,289 to 1,791",17.8,14.9,20.7,14.9 to 20.7,"2,139",574,457,691,457 to 691,26.8,21.3,32.3,21.3 to 32.3,"1,611",382,297,467,297 to 467,23.7,18.4,29,18.4 to 29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,674 ","$40,488 ","$46,860 ","$40,488 to $46,860"
2014,27,27031,Cook County (MN),"5,179",537,418,656,418 to 656,10.4,8.1,12.7,8.1 to 12.7,842,136,103,169,103 to 169,16.2,12.3,20.1,12.3 to 20.1,625,90,67,113,67 to 113,14.4,10.8,18,10.8 to 18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,593 ","$43,934 ","$53,252 ","$43,934 to $53,252"
2014,27,27033,Cottonwood County (MN),"11,426","1,473","1,198","1,748","1,198 to 1,748",12.9,10.5,15.3,10.5 to 15.3,"2,718",513,403,623,403 to 623,18.9,14.9,22.9,14.9 to 22.9,"1,938",344,268,420,268 to 420,17.8,13.9,21.7,13.9 to 21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,176 ","$44,190 ","$52,162 ","$44,190 to $52,162"
2014,27,27035,Crow Wing County (MN),"62,521","6,815","5,572","8,058","5,572 to 8,058",10.9,8.9,12.9,8.9 to 12.9,"13,780","2,245","1,706","2,784","1,706 to 2,784",16.3,12.4,20.2,12.4 to 20.2,"10,054","1,449","1,072","1,826","1,072 to 1,826",14.4,10.7,18.1,10.7 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,162 ","$48,041 ","$52,283 ","$48,041 to $52,283"
2014,27,27037,Dakota County (MN),"409,595","29,892","26,347","33,437","26,347 to 33,437",7.3,6.4,8.2,6.4 to 8.2,"101,924","9,827","8,289","11,365","8,289 to 11,365",9.6,8.1,11.1,8.1 to 11.1,"74,966","6,516","5,427","7,605","5,427 to 7,605",8.7,7.2,10.2,7.2 to 10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$76,269 ","$74,590 ","$77,948 ","$74,590 to $77,948"
2014,27,27039,Dodge County (MN),"20,174","1,531","1,234","1,828","1,234 to 1,828",7.6,6.1,9.1,6.1 to 9.1,"5,526",564,445,683,445 to 683,10.2,8,12.4,8.0 to 12.4,"4,219",377,293,461,293 to 461,8.9,6.9,10.9,6.9 to 10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$68,777 ","$64,399 ","$73,155 ","$64,399 to $73,155"
2014,27,27041,Douglas County (MN),"36,309","3,474","2,824","4,124","2,824 to 4,124",9.6,7.8,11.4,7.8 to 11.4,"7,649",973,771,"1,175","771 to 1,175",12.7,10.1,15.3,10.1 to 15.3,"5,640",643,502,784,502 to 784,11.4,8.9,13.9,8.9 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,298 ","$49,030 ","$55,566 ","$49,030 to $55,566"
2014,27,27043,Faribault County (MN),"13,818","1,866","1,568","2,164","1,568 to 2,164",13.5,11.3,15.7,11.3 to 15.7,"2,989",630,506,754,506 to 754,21.1,16.9,25.3,16.9 to 25.3,"2,191",444,357,531,357 to 531,20.3,16.3,24.3,16.3 to 24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,163 ","$45,168 ","$51,158 ","$45,168 to $51,158"
2014,27,27045,Fillmore County (MN),"20,387","2,360","1,925","2,795","1,925 to 2,795",11.6,9.5,13.7,9.5 to 13.7,"4,880",826,635,"1,017","635 to 1,017",16.9,13,20.8,13.0 to 20.8,"3,576",561,423,699,423 to 699,15.7,11.8,19.6,11.8 to 19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,444 ","$49,130 ","$55,758 ","$49,130 to $55,758"
2014,27,27047,Freeborn County (MN),"30,222","3,774","3,092","4,456","3,092 to 4,456",12.5,10.2,14.8,10.2 to 14.8,"6,597","1,216",968,"1,464","968 to 1,464",18.4,14.6,22.2,14.6 to 22.2,"4,784",806,629,983,629 to 983,16.8,13.1,20.5,13.1 to 20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,203 ","$43,573 ","$50,833 ","$43,573 to $50,833"
2014,27,27049,Goodhue County (MN),"45,504","4,377","3,691","5,063","3,691 to 5,063",9.6,8.1,11.1,8.1 to 11.1,"10,360","1,232",984,"1,480","984 to 1,480",11.9,9.5,14.3,9.5 to 14.3,"7,671",867,691,"1,043","691 to 1,043",11.3,9,13.6,9.0 to 13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,869 ","$55,876 ","$65,862 ","$55,876 to $65,862"
2014,27,27051,Grant County (MN),"5,855",615,476,754,476 to 754,10.5,8.1,12.9,8.1 to 12.9,"1,264",219,166,272,166 to 272,17.3,13.1,21.5,13.1 to 21.5,927,151,113,189,113 to 189,16.3,12.2,20.4,12.2 to 20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,179 ","$43,661 ","$52,697 ","$43,661 to $52,697"
2014,27,27053,Hennepin County (MN),"1,190,018","154,785","146,207","163,363","146,207 to 163,363",13,12.3,13.7,12.3 to 13.7,"265,711","45,438","41,490","49,386","41,490 to 49,386",17.1,15.6,18.6,15.6 to 18.6,"186,092","29,503","26,493","32,513","26,493 to 32,513",15.9,14.3,17.5,14.3 to 17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,490 ","$62,862 ","$66,118 ","$62,862 to $66,118"
2014,27,27055,Houston County (MN),"18,488","1,560","1,250","1,870","1,250 to 1,870",8.4,6.7,10.1,6.7 to 10.1,"3,959",422,320,524,320 to 524,10.7,8.1,13.3,8.1 to 13.3,"3,007",276,205,347,205 to 347,9.2,6.8,11.6,6.8 to 11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,900 ","$56,998 ","$62,802 ","$56,998 to $62,802"
2014,27,27057,Hubbard County (MN),"20,373","2,491","2,024","2,958","2,024 to 2,958",12.2,9.9,14.5,9.9 to 14.5,"4,224",817,629,"1,005","629 to 1,005",19.3,14.8,23.8,14.8 to 23.8,"3,041",549,411,687,411 to 687,18.1,13.6,22.6,13.6 to 22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,944 ","$44,516 ","$51,372 ","$44,516 to $51,372"
2014,27,27059,Isanti County (MN),"37,899","2,971","2,320","3,622","2,320 to 3,622",7.8,6.1,9.5,6.1 to 9.5,"9,159","1,073",814,"1,332","814 to 1,332",11.7,8.9,14.5,8.9 to 14.5,"6,871",736,549,923,549 to 923,10.7,8,13.4,8.0 to 13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,342 ","$61,212 ","$69,472 ","$61,212 to $69,472"
2014,27,27061,Itasca County (MN),"44,597","6,545","5,514","7,576","5,514 to 7,576",14.7,12.4,17,12.4 to 17.0,"9,332","2,037","1,655","2,419","1,655 to 2,419",21.8,17.7,25.9,17.7 to 25.9,"6,859","1,362","1,091","1,633","1,091 to 1,633",19.9,16,23.8,16.0 to 23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,525 ","$45,351 ","$51,699 ","$45,351 to $51,699"
2014,27,27063,Jackson County (MN),"10,133",992,798,"1,186","798 to 1,186",9.8,7.9,11.7,7.9 to 11.7,"2,280",343,270,416,270 to 416,15,11.8,18.2,11.8 to 18.2,"1,663",240,188,292,188 to 292,14.4,11.3,17.5,11.3 to 17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,700 ","$48,884 ","$58,516 ","$48,884 to $58,516"
2014,27,27065,Kanabec County (MN),"15,722","2,166","1,828","2,504","1,828 to 2,504",13.8,11.6,16,11.6 to 16.0,"3,370",707,564,850,564 to 850,21,16.7,25.3,16.7 to 25.3,"2,593",461,351,571,351 to 571,17.8,13.6,22,13.6 to 22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,908 ","$45,953 ","$51,863 ","$45,953 to $51,863"
2014,27,27067,Kandiyohi County (MN),"41,498","4,783","3,899","5,667","3,899 to 5,667",11.5,9.4,13.6,9.4 to 13.6,"9,730","1,823","1,451","2,195","1,451 to 2,195",18.7,14.9,22.5,14.9 to 22.5,"7,010","1,220",931,"1,509","931 to 1,509",17.4,13.3,21.5,13.3 to 21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,405 ","$54,562 ","$60,248 ","$54,562 to $60,248"
2014,27,27069,Kittson County (MN),"4,325",427,332,522,332 to 522,9.9,7.7,12.1,7.7 to 12.1,955,130,99,161,99 to 161,13.6,10.4,16.8,10.4 to 16.8,724,88,66,110,66 to 110,12.2,9.2,15.2,9.2 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,372 ","$45,982 ","$54,762 ","$45,982 to $54,762"
2014,27,27071,Koochiching County (MN),"12,600","1,933","1,545","2,321","1,545 to 2,321",15.3,12.2,18.4,12.2 to 18.4,"2,379",536,413,659,413 to 659,22.5,17.3,27.7,17.3 to 27.7,"1,864",373,285,461,285 to 461,20,15.3,24.7,15.3 to 24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,113 ","$40,199 ","$48,027 ","$40,199 to $48,027"
2014,27,27073,Lac qui Parle County (MN),"6,731",700,563,837,563 to 837,10.4,8.4,12.4,8.4 to 12.4,"1,385",198,150,246,150 to 246,14.3,10.8,17.8,10.8 to 17.8,"1,030",139,104,174,104 to 174,13.5,10.1,16.9,10.1 to 16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,245 ","$43,871 ","$52,619 ","$43,871 to $52,619"
2014,27,27075,Lake County (MN),"10,491","1,098",890,"1,306","890 to 1,306",10.5,8.5,12.5,8.5 to 12.5,"1,965",300,233,367,233 to 367,15.3,11.9,18.7,11.9 to 18.7,"1,434",193,145,241,145 to 241,13.5,10.1,16.9,10.1 to 16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,381 ","$47,557 ","$57,205 ","$47,557 to $57,205"
2014,27,27077,Lake of the Woods County (MN),"3,854",412,309,515,309 to 515,10.7,8,13.4,8.0 to 13.4,706,131,100,162,100 to 162,18.6,14.2,23,14.2 to 23.0,528,90,67,113,67 to 113,17,12.7,21.3,12.7 to 21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,727 ","$40,200 ","$49,254 ","$40,200 to $49,254"
2014,27,27079,Le Sueur County (MN),"27,480","2,434","1,982","2,886","1,982 to 2,886",8.9,7.3,10.5,7.3 to 10.5,"6,719",730,564,896,564 to 896,10.9,8.4,13.4,8.4 to 13.4,"5,120",515,397,633,397 to 633,10.1,7.8,12.4,7.8 to 12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,665 ","$59,235 ","$64,095 ","$59,235 to $64,095"
2014,27,27081,Lincoln County (MN),"5,663",577,462,692,462 to 692,10.2,8.2,12.2,8.2 to 12.2,"1,286",170,128,212,128 to 212,13.2,9.9,16.5,9.9 to 16.5,963,117,87,147,87 to 147,12.1,9,15.2,9.0 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,449 ","$44,607 ","$52,291 ","$44,607 to $52,291"
2014,27,27083,Lyon County (MN),"24,701","2,839","2,294","3,384","2,294 to 3,384",11.5,9.3,13.7,9.3 to 13.7,"6,289",990,773,"1,207","773 to 1,207",15.7,12.2,19.2,12.2 to 19.2,"4,448",677,516,838,516 to 838,15.2,11.6,18.8,11.6 to 18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,552 ","$49,176 ","$57,928 ","$49,176 to $57,928"
2014,27,27085,McLeod County (MN),"35,454","2,797","2,214","3,380","2,214 to 3,380",7.9,6.3,9.5,6.3 to 9.5,"8,417",941,723,"1,159","723 to 1,159",11.2,8.6,13.8,8.6 to 13.8,"6,177",660,505,815,505 to 815,10.7,8.2,13.2,8.2 to 13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,114 ","$57,012 ","$63,216 ","$57,012 to $63,216"
2014,27,27087,Mahnomen County (MN),"5,412","1,063",874,"1,252","874 to 1,252",19.6,16.1,23.1,16.1 to 23.1,"1,642",535,413,657,413 to 657,32.6,25.2,40,25.2 to 40.0,"1,091",357,267,447,267 to 447,32.7,24.4,41,24.4 to 41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,926 ","$36,555 ","$43,297 ","$36,555 to $43,297"
2014,27,27089,Marshall County (MN),"9,325",891,726,"1,056","726 to 1,056",9.6,7.8,11.4,7.8 to 11.4,"2,128",272,211,333,211 to 333,12.8,9.9,15.7,9.9 to 15.7,"1,556",188,146,230,146 to 230,12.1,9.4,14.8,9.4 to 14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,433 ","$51,000 ","$57,866 ","$51,000 to $57,866"
2014,27,27091,Martin County (MN),"19,913","2,434","1,940","2,928","1,940 to 2,928",12.2,9.7,14.7,9.7 to 14.7,"4,298",840,655,"1,025","655 to 1,025",19.5,15.2,23.8,15.2 to 23.8,"3,203",558,421,695,421 to 695,17.4,13.1,21.7,13.1 to 21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,042 ","$48,319 ","$55,765 ","$48,319 to $55,765"
2014,27,27093,Meeker County (MN),"22,740","2,268","1,857","2,679","1,857 to 2,679",10,8.2,11.8,8.2 to 11.8,"5,616",736,580,892,580 to 892,13.1,10.3,15.9,10.3 to 15.9,"4,160",501,389,613,389 to 613,12,9.3,14.7,9.3 to 14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,354 ","$51,565 ","$57,143 ","$51,565 to $57,143"
2014,27,27095,Mille Lacs County (MN),"25,259","3,035","2,489","3,581","2,489 to 3,581",12,9.8,14.2,9.8 to 14.2,"6,048","1,047",800,"1,294","800 to 1,294",17.3,13.2,21.4,13.2 to 21.4,"4,408",713,528,898,528 to 898,16.2,12,20.4,12.0 to 20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,434 ","$45,142 ","$51,726 ","$45,142 to $51,726"
2014,27,27097,Morrison County (MN),"32,406","3,839","3,168","4,510","3,168 to 4,510",11.8,9.7,13.9,9.7 to 13.9,"7,605","1,205",917,"1,493","917 to 1,493",15.8,12,19.6,12.0 to 19.6,"5,609",823,620,"1,026","620 to 1,026",14.7,11.1,18.3,11.1 to 18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,685 ","$48,144 ","$53,226 ","$48,144 to $53,226"
2014,27,27099,Mower County (MN),"38,781","4,700","3,815","5,585","3,815 to 5,585",12.1,9.8,14.4,9.8 to 14.4,"9,576","1,557","1,191","1,923","1,191 to 1,923",16.3,12.5,20.1,12.5 to 20.1,"6,859","1,080",817,"1,343","817 to 1,343",15.7,11.9,19.5,11.9 to 19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,537 ","$43,276 ","$51,798 ","$43,276 to $51,798"
2014,27,27101,Murray County (MN),"8,325",796,634,958,634 to 958,9.6,7.6,11.6,7.6 to 11.6,"1,801",240,185,295,185 to 295,13.3,10.3,16.3,10.3 to 16.3,"1,305",161,122,200,122 to 200,12.3,9.3,15.3,9.3 to 15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,219 ","$49,256 ","$55,182 ","$49,256 to $55,182"
2014,27,27103,Nicollet County (MN),"30,783","3,134","2,555","3,713","2,555 to 3,713",10.2,8.3,12.1,8.3 to 12.1,"7,110",814,621,"1,007","621 to 1,007",11.4,8.7,14.1,8.7 to 14.1,"5,238",550,415,685,415 to 685,10.5,7.9,13.1,7.9 to 13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,279 ","$56,443 ","$66,115 ","$56,443 to $66,115"
2014,27,27105,Nobles County (MN),"21,222","2,769","2,232","3,306","2,232 to 3,306",13,10.5,15.5,10.5 to 15.5,"5,581","1,011",800,"1,222","800 to 1,222",18.1,14.3,21.9,14.3 to 21.9,"3,840",634,476,792,476 to 792,16.5,12.4,20.6,12.4 to 20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,684 ","$47,710 ","$53,658 ","$47,710 to $53,658"
2014,27,27107,Norman County (MN),"6,480",868,705,"1,031","705 to 1,031",13.4,10.9,15.9,10.9 to 15.9,"1,513",287,228,346,228 to 346,19,15.1,22.9,15.1 to 22.9,"1,158",190,148,232,148 to 232,16.4,12.8,20,12.8 to 20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,597 ","$48,170 ","$55,024 ","$48,170 to $55,024"
2014,27,27109,Olmsted County (MN),"147,913","14,462","12,700","16,224","12,700 to 16,224",9.8,8.6,11,8.6 to 11.0,"36,613","4,718","3,951","5,485","3,951 to 5,485",12.9,10.8,15,10.8 to 15.0,"26,018","3,137","2,572","3,702","2,572 to 3,702",12.1,9.9,14.3,9.9 to 14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$69,430 ","$64,999 ","$73,861 ","$64,999 to $73,861"
2014,27,27111,Otter Tail County (MN),"56,570","6,363","5,321","7,405","5,321 to 7,405",11.2,9.4,13,9.4 to 13.0,"12,121","1,948","1,537","2,359","1,537 to 2,359",16.1,12.7,19.5,12.7 to 19.5,"8,771","1,333","1,021","1,645","1,021 to 1,645",15.2,11.6,18.8,11.6 to 18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,510 ","$49,136 ","$53,884 ","$49,136 to $53,884"
2014,27,27113,Pennington County (MN),"13,710","1,274",994,"1,554","994 to 1,554",9.3,7.3,11.3,7.3 to 11.3,"3,168",401,302,500,302 to 500,12.7,9.6,15.8,9.6 to 15.8,"2,227",273,203,343,203 to 343,12.3,9.2,15.4,9.2 to 15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,905 ","$46,639 ","$55,171 ","$46,639 to $55,171"
2014,27,27115,Pine County (MN),"27,268","4,762","4,163","5,361","4,163 to 5,361",17.5,15.3,19.7,15.3 to 19.7,"5,809","1,459","1,233","1,685","1,233 to 1,685",25.1,21.2,29,21.2 to 29.0,"4,381",933,760,"1,106","760 to 1,106",21.3,17.4,25.2,17.4 to 25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,157 ","$40,107 ","$44,207 ","$40,107 to $44,207"
2014,27,27117,Pipestone County (MN),"9,066","1,110",885,"1,335","885 to 1,335",12.2,9.7,14.7,9.7 to 14.7,"2,244",407,314,500,314 to 500,18.1,14,22.2,14.0 to 22.2,"1,645",274,208,340,208 to 340,16.7,12.7,20.7,12.7 to 20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,164 ","$43,630 ","$50,698 ","$43,630 to $50,698"
2014,27,27119,Polk County (MN),"30,454","3,875","3,224","4,526","3,224 to 4,526",12.7,10.6,14.8,10.6 to 14.8,"7,276","1,150",892,"1,408","892 to 1,408",15.8,12.3,19.3,12.3 to 19.3,"5,253",768,578,958,578 to 958,14.6,11,18.2,11.0 to 18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,175 ","$46,757 ","$53,593 ","$46,757 to $53,593"
2014,27,27121,Pope County (MN),"10,810","1,129",910,"1,348","910 to 1,348",10.4,8.4,12.4,8.4 to 12.4,"2,305",306,234,378,234 to 378,13.3,10.2,16.4,10.2 to 16.4,"1,649",212,161,263,161 to 263,12.9,9.8,16,9.8 to 16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,343 ","$47,279 ","$55,407 ","$47,279 to $55,407"
2014,27,27123,Ramsey County (MN),"516,956","85,264","79,025","91,503","79,025 to 91,503",16.5,15.3,17.7,15.3 to 17.7,"122,646","29,535","26,252","32,818","26,252 to 32,818",24.1,21.4,26.8,21.4 to 26.8,"85,075","19,869","17,487","22,251","17,487 to 22,251",23.4,20.6,26.2,20.6 to 26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,070 ","$53,404 ","$56,736 ","$53,404 to $56,736"
2014,27,27125,Red Lake County (MN),"4,002",368,284,452,284 to 452,9.2,7.1,11.3,7.1 to 11.3,990,114,86,142,86 to 142,11.5,8.7,14.3,8.7 to 14.3,693,74,55,93,55 to 93,10.7,8,13.4,8.0 to 13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,188 ","$43,673 ","$52,703 ","$43,673 to $52,703"
2014,27,27127,Redwood County (MN),"15,193","1,886","1,605","2,167","1,605 to 2,167",12.4,10.5,14.3,10.5 to 14.3,"3,710",678,561,795,561 to 795,18.3,15.2,21.4,15.2 to 21.4,"2,716",460,377,543,377 to 543,16.9,13.8,20,13.8 to 20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,934 ","$45,940 ","$53,928 ","$45,940 to $53,928"
2014,27,27129,Renville County (MN),"14,684","1,661","1,359","1,963","1,359 to 1,963",11.3,9.2,13.4,9.2 to 13.4,"3,331",570,450,690,450 to 690,17.1,13.5,20.7,13.5 to 20.7,"2,446",401,315,487,315 to 487,16.4,12.9,19.9,12.9 to 19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,386 ","$50,247 ","$58,525 ","$50,247 to $58,525"
2014,27,27131,Rice County (MN),"57,949","7,510","6,468","8,552","6,468 to 8,552",13,11.2,14.8,11.2 to 14.8,"14,381","2,296","1,950","2,642","1,950 to 2,642",16,13.6,18.4,13.6 to 18.4,"10,566","1,402","1,134","1,670","1,134 to 1,670",13.3,10.8,15.8,10.8 to 15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,317 ","$57,177 ","$63,457 ","$57,177 to $63,457"
2014,27,27133,Rock County (MN),"9,302",890,707,"1,073","707 to 1,073",9.6,7.6,11.6,7.6 to 11.6,"2,332",282,214,350,214 to 350,12.1,9.2,15,9.2 to 15.0,"1,710",185,138,232,138 to 232,10.8,8,13.6,8.0 to 13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,352 ","$50,258 ","$60,446 ","$50,258 to $60,446"
2014,27,27135,Roseau County (MN),"15,445","1,418","1,145","1,691","1,145 to 1,691",9.2,7.4,11,7.4 to 11.0,"3,790",466,370,562,370 to 562,12.3,9.8,14.8,9.8 to 14.8,"2,844",311,241,381,241 to 381,10.9,8.4,13.4,8.4 to 13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,838 ","$49,652 ","$58,024 ","$49,652 to $58,024"
2014,27,27137,St. Louis County (MN),"192,857","32,867","30,157","35,577","30,157 to 35,577",17,15.6,18.4,15.6 to 18.4,"37,665","7,491","6,362","8,620","6,362 to 8,620",19.9,16.9,22.9,16.9 to 22.9,"27,252","4,601","3,713","5,489","3,713 to 5,489",16.9,13.6,20.2,13.6 to 20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,714 ","$47,569 ","$51,859 ","$47,569 to $51,859"
2014,27,27139,Scott County (MN),"138,093","7,590","6,296","8,884","6,296 to 8,884",5.5,4.6,6.4,4.6 to 6.4,"39,857","2,733","2,152","3,314","2,152 to 3,314",6.9,5.4,8.4,5.4 to 8.4,"29,544","1,857","1,431","2,283","1,431 to 2,283",6.3,4.9,7.7,4.9 to 7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$91,688 ","$85,807 ","$97,569 ","$85,807 to $97,569"
2014,27,27141,Sherburne County (MN),"88,749","6,395","5,183","7,607","5,183 to 7,607",7.2,5.8,8.6,5.8 to 8.6,"24,481","2,123","1,682","2,564","1,682 to 2,564",8.7,6.9,10.5,6.9 to 10.5,"18,294","1,421","1,112","1,730","1,112 to 1,730",7.8,6.1,9.5,6.1 to 9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$76,512 ","$71,008 ","$82,016 ","$71,008 to $82,016"
2014,27,27143,Sibley County (MN),"14,703","1,353","1,075","1,631","1,075 to 1,631",9.2,7.3,11.1,7.3 to 11.1,"3,589",483,368,598,368 to 598,13.5,10.3,16.7,10.3 to 16.7,"2,691",327,247,407,247 to 407,12.2,9.2,15.2,9.2 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,893 ","$56,585 ","$63,201 ","$56,585 to $63,201"
2014,27,27145,Stearns County (MN),"145,908","19,537","17,572","21,502","17,572 to 21,502",13.4,12.1,14.7,12.1 to 14.7,"34,071","4,586","3,774","5,398","3,774 to 5,398",13.5,11.1,15.9,11.1 to 15.9,"24,631","3,095","2,490","3,700","2,490 to 3,700",12.6,10.1,15.1,10.1 to 15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,832 ","$53,614 ","$58,050 ","$53,614 to $58,050"
2014,27,27147,Steele County (MN),"36,064","3,931","3,312","4,550","3,312 to 4,550",10.9,9.2,12.6,9.2 to 12.6,"9,062","1,533","1,280","1,786","1,280 to 1,786",16.9,14.1,19.7,14.1 to 19.7,"6,624","1,001",819,"1,183","819 to 1,183",15.1,12.4,17.8,12.4 to 17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,850 ","$52,521 ","$63,179 ","$52,521 to $63,179"
2014,27,27149,Stevens County (MN),"8,838","1,258","1,051","1,465","1,051 to 1,465",14.2,11.9,16.5,11.9 to 16.5,"2,019",236,180,292,180 to 292,11.7,8.9,14.5,8.9 to 14.5,"1,498",151,113,189,113 to 189,10.1,7.6,12.6,7.6 to 12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,292 ","$50,354 ","$60,230 ","$50,354 to $60,230"
2014,27,27151,Swift County (MN),"9,269","1,005",803,"1,207","803 to 1,207",10.8,8.6,13,8.6 to 13.0,"2,001",290,222,358,222 to 358,14.5,11.1,17.9,11.1 to 17.9,"1,432",193,146,240,146 to 240,13.5,10.2,16.8,10.2 to 16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,032 ","$46,272 ","$55,792 ","$46,272 to $55,792"
2014,27,27153,Todd County (MN),"23,941","4,250","3,773","4,727","3,773 to 4,727",17.8,15.8,19.8,15.8 to 19.8,"5,715","1,423","1,203","1,643","1,203 to 1,643",24.9,21,28.8,21.0 to 28.8,"4,034",850,672,"1,028","672 to 1,028",21.1,16.7,25.5,16.7 to 25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,287 ","$40,470 ","$46,104 ","$40,470 to $46,104"
